mueble,name,abbr,material,color,ancho(mm),largo(mm),are(mm),veta,canto,canto_len(mm),posicion,cantidad,x(mm),y(mm),z(mm)
COCINA_PRINCIPAL,mesinf_aglo_horizontal_oscuro_vetaN_cantoAOAOLOLC_baseA.001,COPR_O_H_BA17,AGLOMERADO,OSCURO,550.0,2000.0,1100000.0,NO_TIENE,ANCHO/OSCURO:550.0;ANCHO/OSCURO:550.0;LARGO/OSCURO:2000.0;LARGO/CLARO:2000.0;,5100.0,HORIZONTAL,1,2000.0,550.0,15.0
COCINA_PRINCIPAL,mesinf_aglo_horizontal_oscuro_vetaN_cantoANANLOLN_paneA.001,COPR_O_H_PA18,AGLOMERADO,OSCURO,450.0,600.0,270000.0,NO_TIENE,LARGO/OSCURO:600.0;,600.0,HORIZONTAL,1,600.0,450.0,15.0
COCINA_PRINCIPAL,mesinf_aglo_verticalfront_claro_vetaA_cantoACACLNLN_baseA.001,COPR_C_VF_BA19,AGLOMERADO,CLARO,1970.0,140.0,275800.0,ANCHO,ANCHO/CLARO:1970.0;ANCHO/CLARO:1970.0;,3940.0,VERICAL_FRONTAL,1,1970.0,15.0,140.0
COCINA_PRINCIPAL,mesinf_aglo_verticalback_oscuro_vetaN_cantoANANLOLN_baseA.001,COPR_O_VP_BA20,AGLOMERADO,OSCURO,140.0,1970.0,275800.0,NO_TIENE,LARGO/OSCURO:1970.0;,1970.0,VERICAL_POSTERIOR,1,1970.0,15.0,140.0
COCINA_PRINCIPAL,mesinf_aglo_verticalat_oscuro_vetaN_cantoANANLOLC_baseA.002,COPR_O_VL_BA21,AGLOMERADO,OSCURO,550.0,765.0,420750.0,NO_TIENE,LARGO/OSCURO:765.0;LARGO/CLARO:765.0;,1530.0,VERICAL_LATERAL,1,15.0,550.0,765.0
COCINA_PRINCIPAL,mesinf_aglo_verticalat_oscuro_vetaN_cantoANANLOLC_baseA.001,COPR_O_VL_BA22,AGLOMERADO,OSCURO,550.0,765.0,420750.0,NO_TIENE,LARGO/OSCURO:765.0;LARGO/CLARO:765.0;,1530.0,VERICAL_LATERAL,1,15.0,550.0,765.0
COCINA_PRINCIPAL,mesinf_aglo_verticalat_oscuro_vetaN_cantoANANLOLN_paneA.001,COPR_O_VL_PA23,AGLOMERADO,OSCURO,550.0,765.0,420750.0,NO_TIENE,LARGO/OSCURO:765.0;,765.0,VERICAL_LATERAL,1,15.0,550.0,765.0
COCINA_PRINCIPAL,mesinf_aglo_verticalfront_claro_vetaL_cantoACACLCLC_puertaA.001,COPR_C_VF_PU24,AGLOMERADO,CLARO,305.0,700.0,213500.0,LARGO,ANCHO/CLARO:305.0;ANCHO/CLARO:305.0;LARGO/CLARO:700.0;LARGO/CLARO:700.0;,2010.0,VERICAL_FRONTAL,1,305.0,15.0,700.0
COCINA_PRINCIPAL,mesinf_aglo_verticalfront_claro_vetaL_cantoACACLCLC_puertaA.002,COPR_C_VF_PU25,AGLOMERADO,CLARO,305.0,700.0,213500.0,LARGO,ANCHO/CLARO:305.0;ANCHO/CLARO:305.0;LARGO/CLARO:700.0;LARGO/CLARO:700.0;,2010.0,VERICAL_FRONTAL,1,305.0,15.0,700.0
COCINA_PRINCIPAL,mesinf_aglo_verticalfront_claro_vetaL_cantoACACLCLC_puertaB.001,COPR_C_VF_PU26,AGLOMERADO,CLARO,150.0,700.0,105000.0,LARGO,ANCHO/CLARO:150.0;ANCHO/CLARO:150.0;LARGO/CLARO:700.0;LARGO/CLARO:700.0;,1700.0,VERICAL_FRONTAL,1,150.0,15.0,700.0
COCINA_PRINCIPAL,mesinf_aglo_verticalfront_claro_vetaL_cantoACACLCLC_puertaC.001,COPR_C_VF_PU27,AGLOMERADO,CLARO,615.0,700.0,430500.0,LARGO,ANCHO/CLARO:615.0;ANCHO/CLARO:615.0;LARGO/CLARO:700.0;LARGO/CLARO:700.0;,2630.0,VERICAL_FRONTAL,1,615.0,15.0,700.0
COCINA_PRINCIPAL,mesinf_aglo_verticalback_oscuro_vetaN_cantoANANLOLN_baseA.002,COPR_O_VP_BA28,AGLOMERADO,OSCURO,140.0,1970.0,275800.0,NO_TIENE,LARGO/OSCURO:1970.0;,1970.0,VERICAL_POSTERIOR,1,1970.0,15.0,140.0
COCINA_PRINCIPAL,mesinf_aglo_verticalat_oscuro_vetaN_cantoANANLOLN_paneA.002,COPR_O_VL_PA29,AGLOMERADO,OSCURO,550.0,765.0,420750.0,NO_TIENE,LARGO/OSCURO:765.0;,765.0,VERICAL_LATERAL,1,15.0,550.0,765.0
COCINA_PRINCIPAL,mesinf_aglo_verticalat_oscuro_vetaN_cantoANANLOLN_paneA.003,COPR_O_VL_PA30,AGLOMERADO,OSCURO,550.0,765.0,420750.0,NO_TIENE,LARGO/OSCURO:765.0;,765.0,VERICAL_LATERAL,1,15.0,550.0,765.0
COCINA_SUPERIOR,messup_aglo_horizontal_oscuro_vetaN_cantoANANLCLN_baseA.002,COSU_O_H_BA31,AGLOMERADO,OSCURO,400.0,1970.0,788000.0,NO_TIENE,LARGO/CLARO:1970.0;,1970.0,HORIZONTAL,1,1970.0,400.0,15.0
COCINA_SUPERIOR,messup_aglo_verticalfront_claro_vetaA_cantoACACLCLC_puertaC.002,COSU_C_VF_PU32,AGLOMERADO,CLARO,830.0,140.0,116200.0,ANCHO,ANCHO/CLARO:830.0;ANCHO/CLARO:830.0;LARGO/CLARO:140.0;LARGO/CLARO:140.0;,1940.0,VERICAL_FRONTAL,1,830.0,15.0,140.0
COCINA_SUPERIOR,messup_aglo_verticalat_oscuro_vetaN_cantoAOAOLCLN_baseA.001,COSU_O_VL_BA33,AGLOMERADO,OSCURO,400.0,530.0,212000.0,NO_TIENE,ANCHO/OSCURO:400.0;ANCHO/OSCURO:400.0;LARGO/CLARO:530.0;,1330.0,VERICAL_LATERAL,1,15.0,400.0,530.0
COCINA_SUPERIOR,messup_aglo_verticalat_oscuro_vetaN_cantoANANLCLN_paneA.001,COSU_O_VL_PA34,AGLOMERADO,OSCURO,400.0,500.0,200000.0,NO_TIENE,LARGO/CLARO:500.0;,500.0,VERICAL_LATERAL,1,15.0,400.0,500.0
COCINA_SUPERIOR,messup_aglo_verticalfront_claro_vetaA_cantoACACLCLC_puertaB.001,COSU_C_VF_PU35,AGLOMERADO,CLARO,775.0,335.0,259625.0,ANCHO,ANCHO/CLARO:775.0;ANCHO/CLARO:775.0;LARGO/CLARO:335.0;LARGO/CLARO:335.0;,2220.0,VERICAL_FRONTAL,1,775.0,15.0,335.0
COCINA_SUPERIOR,messup_aglo_verticalfront_claro_vetaA_cantoACACLCLC_puertaA.001,COSU_C_VF_PU36,AGLOMERADO,CLARO,915.0,515.0,471225.0,ANCHO,ANCHO/CLARO:915.0;ANCHO/CLARO:915.0;LARGO/CLARO:515.0;LARGO/CLARO:515.0;,2860.0,VERICAL_FRONTAL,1,915.0,15.0,515.0
COCINA_SUPERIOR,messup_aglo_horizontal_oscuro_vetaN_cantoANANLOLN_paneA.001,COSU_O_H_PA37,AGLOMERADO,OSCURO,360.0,520.0,187200.0,NO_TIENE,LARGO/OSCURO:520.0;,520.0,HORIZONTAL,1,520.0,360.0,15.0
COCINA_SUPERIOR,messup_aglo_verticalback_oscuro_vetaN_cantoAOAOLOLO_baseA.001,COSU_O_VP_BA38,AGLOMERADO,OSCURO,530.0,2000.0,1060000.0,NO_TIENE,ANCHO/OSCURO:530.0;ANCHO/OSCURO:530.0;LARGO/OSCURO:2000.0;LARGO/OSCURO:2000.0;,5060.0,VERICAL_POSTERIOR,1,2000.0,15.0,530.0
COCINA_SUPERIOR,messup_aglo_horizontal_oscuro_vetaN_cantoANANLOLN_paneA.002,COSU_O_H_PA39,AGLOMERADO,OSCURO,360.0,520.0,187200.0,NO_TIENE,LARGO/OSCURO:520.0;,520.0,HORIZONTAL,1,520.0,360.0,15.0
COCINA_SUPERIOR,messup_aglo_horizontal_oscuro_vetaN_cantoANANLCLN_baseB.002,COSU_O_H_BA40,AGLOMERADO,OSCURO,515.0,755.0,388825.0,NO_TIENE,LARGO/CLARO:755.0;,755.0,HORIZONTAL,1,755.0,515.0,15.0
COCINA_SUPERIOR,messup_aglo_verticalat_oscuro_vetaN_cantoANACLOLO_baseB.001,COSU_O_VL_BA41,AGLOMERADO,OSCURO,345.0,515.0,177675.0,NO_TIENE,ANCHO/CLARO:345.0;LARGO/OSCURO:515.0;LARGO/OSCURO:515.0;,1375.0,VERICAL_LATERAL,1,15.0,515.0,345.0
COCINA_SUPERIOR,messup_aglo_verticalback_oscuro_vetaN_cantoAOAOLOLO_baseB.001,COSU_O_VP_BA42,AGLOMERADO,OSCURO,345.0,785.0,270825.0,NO_TIENE,ANCHO/OSCURO:345.0;ANCHO/OSCURO:345.0;LARGO/OSCURO:785.0;LARGO/OSCURO:785.0;,2260.0,VERICAL_POSTERIOR,1,785.0,15.0,345.0
