armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.042,<Vector (0.0000, 0.0000, 0.0000)>,<Vector (0.0000, 0.0000, 0.0000)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.043,<Vector (0.0150, 0.4500, 2.0150)>,<Vector (0.0150, 0.4500, 2.0150)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.044,<Vector (2.6100, 0.0000, 0.0000)>,<Vector (2.6100, 0.0000, 0.0000)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.045,<Vector (0.6650, 0.4670, 0.0100)>,<Vector (0.6650, 0.4670, 0.0100)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.046,<Vector (1.9400, 0.4670, 0.0100)>,<Vector (1.9400, 0.4670, 0.0100)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.047,<Vector (0.7030, 0.4500, 0.0100)>,<Vector (0.7030, 0.4500, 0.0100)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.048,<Vector (1.9070, 0.4500, 0.0100)>,<Vector (1.9070, 0.4500, 0.0100)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.049,<Vector (1.7950, 0.4670, 2.0150)>,<Vector (1.7950, 0.4670, 2.0150)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.050,<Vector (2.1950, 0.0000, 0.1650)>,<Vector (2.1950, 0.0000, 0.1650)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.051,<Vector (1.8350, 0.0000, 0.0000)>,<Vector (1.8350, 0.0000, 0.0000)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.052,<Vector (0.7050, 0.0000, 0.0150)>,<Vector (0.7050, 0.0000, 0.0150)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.053,<Vector (1.2700, 0.0000, 0.0150)>,<Vector (1.2700, 0.0000, 0.0150)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.054,<Vector (0.3450, 0.0000, 0.1650)>,<Vector (0.3450, 0.0000, 0.1650)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.055,<Vector (0.0150, 0.0000, 0.0150)>,<Vector (0.0150, 0.0000, 0.0150)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.056,<Vector (2.5950, 0.0000, 0.0150)>,<Vector (2.5950, 0.0000, 0.0150)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.057,<Vector (1.8500, 0.0000, 0.0150)>,<Vector (1.8500, 0.0000, 0.0150)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.058,<Vector (0.6750, 0.0000, 0.0150)>,<Vector (0.6750, 0.0000, 0.0150)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.059,<Vector (2.6100, 0.0000, 2.0150)>,<Vector (2.6100, 0.0000, 2.0150)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.060,<Vector (0.0000, 0.0000, 2.0150)>,<Vector (0.0000, 0.0000, 2.0150)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.061,<Vector (1.8350, 0.0000, 2.0150)>,<Vector (1.8350, 0.0000, 2.0150)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.062,<Vector (1.8300, -0.0000, 0.0000)>,<Vector (1.8300, -0.0000, 0.0000)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.063,<Vector (-0.0000, -0.0000, 2.1000)>,<Vector (-0.0000, -0.0000, 2.1000)>
armbig_aglo_verticalat_oscuro_vetaN_canto1L_paneA.064,<Vector (1.8300, -0.0000, 2.1000)>,<Vector (1.8300, -0.0000, 2.1000)>
armsmall_aglo_verticalat_oscuro_vetaN_canto1L_paneA.002,<Vector (1.1400, 0.0000, 0.1500)>,<Vector (1.1400, 0.0000, 0.1500)>
armsmall_aglo_verticalat_oscuro_vetaN_canto1L_paneA.003,<Vector (0.0150, 0.0000, 2.0000)>,<Vector (0.0150, 0.0000, 2.0000)>
